mysql> select * from Dates_D;
+---------+------------+-----------+-------------+--------------+-------------+--------------+------------+---------+--------------+-----------+---------------+-----------------+------+
| date_id | date       | day       | day_of_week | day_of_month | day_of_year | previous_day | next_day   | weekend | week_of_year | month     | month_of_year | quarter_of_year | year |
|      92 | 2010-04-03 | Saturday  |           7 |            3 |          93 | 2010-04-02   | 2010-04-04 | Weekend | 13           | April     | 04            |               2 | 2010 |
|      93 | 2010-04-04 | Sunday    |           1 |            4 |          94 | 2010-04-03   | 2010-04-05 | Weekend | 14           | April     | 04            |               2 | 2010 |
|      94 | 2010-04-05 | Monday    |           2 |            5 |          95 | 2010-04-04   | 2010-04-06 | Weekday | 14           | April     | 04            |               2 | 2010 |
|      95 | 2010-04-06 | Tuesday   |           3 |            6 |          96 | 2010-04-05   | 2010-04-07 | Weekday | 14           | April     | 04            |               2 | 2010 |
|      96 | 2010-04-07 | Wednesday |           4 |            7 |          97 | 2010-04-06   | 2010-04-08 | Weekday | 14           | April     | 04            |               2 | 2010 |
|      97 | 2010-04-08 | Thursday  |           5 |            8 |          98 | 2010-04-07   | 2010-04-09 | Weekday | 14           | April     | 04            |               2 | 2010 |
|      98 | 2010-04-09 | Friday    |           6 |            9 |          99 | 2010-04-08   | 2010-04-10 | Weekday | 14           | April     | 04            |               2 | 2010 |
|      99 | 2010-04-10 | Saturday  |           7 |           10 |         100 | 2010-04-09   | 2010-04-11 | Weekend | 14           | April     | 04            |               2 | 2010 |
|     100 | 2010-04-11 | Sunday    |           1 |           11 |         101 | 2010-04-10   | 2010-04-12 | Weekend | 15           | April     | 04            |               2 | 2010 |
|     101 | 2010-04-12 | Monday    |           2 |           12 |         102 | 2010-04-11   | 2010-04-13 | Weekday | 15           | April     | 04            |               2 | 2010 |
|     102 | 2010-04-13 | Tuesday   |           3 |           13 |         103 | 2010-04-12   | 2010-04-14 | Weekday | 15           | April     | 04            |               2 | 2010 |
